ID Citizenship,Citizenship,ID Year,Year,Citizenship Status,Geography,ID Geography,Slug Geography,Citizenship %
0,"Citizen",2017,"2017",17588433,"New York-Newark-Jersey City, NY-NJ-PA","31000US35620","new-york-newark-jersey-city-ny-nj-pa",0.8710576671740282
0,"Citizen",2016,"2016",296343215,"United States","01000US","united-states",0.9302640784322456
0,"Citizen",2016,"2016",17677060,"New York","04000US36","new-york",0.8974285360795559
0,"Citizen",2016,"2016",1172865,"Bronx County, NY","05000US36005","bronx-county-ny",0.8163121135034122
0,"Citizen",2016,"2016",2196571,"Kings County, NY","05000US36047","kings-county-ny",0.8426143870077779
0,"Citizen",2016,"2016",1390006,"New York County, NY","05000US36061","new-york-county-ny",0.8501622946698724
0,"Citizen",2016,"2016",1825917,"Queens County, NY","05000US36081","queens-county-ny",0.7904364957569466
0,"Citizen",2016,"2016",438387,"Richmond County, NY","05000US36085","richmond-county-ny",0.9261879811714597
0,"Citizen",2016,"2016",7023746,"New York, NY","16000US3651000","new-york-ny",0.8300376236666654
0,"Citizen",2016,"2016",17413944,"New York-Newark-Jersey City, NY-NJ-PA","31000US35620","new-york-newark-jersey-city-ny-nj-pa",0.8693304820825939
0,"Citizen",2015,"2015",294245828,"United States","01000US","united-states",0.9296425397769669
0,"Citizen",2015,"2015",17625647,"New York","04000US36","new-york",0.8959228948008084
0,"Citizen",2015,"2015",1164072,"Bronx County, NY","05000US36005","bronx-county-ny",0.8149727274063837
0,"Citizen",2015,"2015",2175467,"Kings County, NY","05000US36047","kings-county-ny",0.8382465873348286
0,"Citizen",2015,"2015",1381746,"New York County, NY","05000US36061","new-york-county-ny",0.8479533994023959
0,"Citizen",2015,"2015",1806224,"Queens County, NY","05000US36081","queens-county-ny",0.7849260735661775
0,"Citizen",2015,"2015",437012,"Richmond County, NY","05000US36085","richmond-county-ny",0.9249303146581556
0,"Citizen",2015,"2015",6964521,"New York, NY","16000US3651000","new-york-ny",0.8264783914734317
0,"Citizen",2015,"2015",17328920,"New York-Newark-Jersey City, NY-NJ-PA","31000US35620","new-york-newark-jersey-city-ny-nj-pa",0.8673154837724819
0,"Citizen",2014,"2014",291850247,"United States","01000US","united-states",0.9291425181610995
0,"Citizen",2014,"2014",17536172,"New York","04000US36","new-york",0.8949615526532421
0,"Citizen",2014,"2014",1149212,"Bronx County, NY","05000US36005","bronx-county-ny",0.8129878619038658
0,"Citizen",2014,"2014",2146253,"Kings County, NY","05000US36047","kings-county-ny",0.8348576961032768
0,"Citizen",2014,"2014",1371833,"New York County, NY","05000US36061","new-york-county-ny",0.8476487242322346
0,"Citizen",2014,"2014",1783259,"Queens County, NY","05000US36081","queens-county-ny",0.7819246847981366
